@id;name;@lat;@lon;addr:city;addr:postcode;addr:street;addr:housenumber;amenity;cuisine;indoor_seating;outdoor_seating;opening_hours;website;wheelchair;Column1;_1;_2;_3;_4;_5
359683717;Cucina;474943149;87407208;;;;;restaurant;italian;indian;;;;;yes;;;;;
359685942;Strauss;475003358;87272460;Winterthur;;Stadthausstrasse;8;restaurant;regional;;;Mo-Sa 10:00-24:00;https://www.strauss-winterthur.ch/;limited;;;;;;
359686638;Rosa Pulver;475004628;87268709;Winterthur;8400;Stadthausstrasse;10;restaurant;regional;;;"Tu-Fr 11:30-13:30, 18:00+; Sa 18:00+";https://rosapulver.ch/;;;;;;;
359686907;Coop Restaurant;475008859;87260018;;;;;restaurant;;;;Mo-Sa 08:00-20:00;;yes;;;;;;
359687037;Santa Lucia;475009387;87252033;Winterthur;8400;Bahnhofplatz;12;restaurant;pizza;;;"Mo-Fr 11:30-14:00,17:30-22:30; Sa,Su 11:30-22:30";https://www.bindella.ch/de/santa-lucia-winterthur.html;limited;;;;;;
359687167;Coal Mine Bar;475004342;87251948;;;;;pub;;;;;;no;;;;;;
359687975;Restaurant Trübli;474989829;87262079;Winterthur;8400;Bosshardengässchen;2;restaurant;;yes;no;Tu-Sa 16:00-23:30;https://restaurant-truebli.ch;;;;;;;
359688178;Typisch Thai;474984254;87261656;Winterthur;8400;Neumarkt;3;restaurant;thai;;;"Mo-Fr 10:00-14:00,17:00-23:00; Sa,Su 17:00-23:00";https://www.typischthai.ch;;;;;;;
359690143;Thurbinä;474992687;87284821;;;;;pub;;yes;yes;Tu,We 15:00-23:00, Th 15:00-24:00, Fr 15:00-01:00, Sa 14:00-01:00, Su 15:00-21:00;;no;;;;;;
359690232;Le ciel bleu;474978440;87284816;Winterthur;8400;Technikumstrasse;44;pub;;;;;;no;;;;;;
359690395;Brasserie Rössli;474977995;87278351;Winterthur;8400;Technikumstrasse;56;restaurant;mediterranean;;yes;"Tu-Fr 11:45-14:00,18:00-22:30; Sa 18:00-22:30";https://www.brasserie-roessli.ch/;no;;;;;;
359690485;Gwölb;474980808;87289351;Winterthur;8400;Steinberggasse;29;pub;;;;;;no;;;;;;
359690572;Riva;474983902;87301298;Winterthur;8400;Steinberggasse;2;pub;;;;Mo,We,Th 08:00-24:00, Tu 07:00-24:00, Fr 07:00-01:00, Sa 08:30-01:00, Su 12:00-22:00;;;;;;;;
359690720;Obergass;474988710;87301867;;;;;restaurant;;;yes;Mo 17:00-24:00; Tu-Fr 08:00-24:00; Sa 09:30-24:00;http://www.restaurant-obergass.ch/;no;;;;
